Fecha,Publicacion,Link,Plataforma,Sentimiento,Tema,Relacionado a,Autor
26-01-2021,"Moreno dice que ""hasta mayo"" dará $500 a 570 mil familias.

¿¡Por qué esperar hasta mayo!?
Ayuda económica YA!",https://twitter.com/ecuarauz/status/1353937494115553280?s=20,Twitter,Neutral,Derechos humanos,Ayuda económica a familias,"
@ecuarauz
"
25-01-2021,"#EnVivo | Más Recursos, Más Cupos en las Universidades. 

Queremos universidades con autonomía y con mayores recursos. 

Por un futuro con educación, trabajo y dignidad.
#MásCuposDeUNA

https://fb.watch/3f6qJjxNxc/",https://twitter.com/ecuarauz/status/1353863605721190401?s=20,Twitter,Neutral,Educación,Universidades con autonomía,"
@ecuarauz
"
25-01-2021,"Abandonaron a su suerte a enfermos de covid, luego importaron pocas vacunas que reparten entre familiares y amigos. El gobierno de Moreno y Lasso manejan la pandemia sin transparencia ni humanidad. Ecuatorianos, falta muy poco para que tengamos un buen gobierno. #RenunciaZevallos",https://twitter.com/ecuarauz/status/1353845332602458112?s=20,Twitter,Negativo,Salud,Vacunas,"
@ecuarauz
"
25-01-2021,"Jamás me acostumbraré a la indignación que genera este gobierno. Traen solo una caja con vacunas, ellos se vacunan primero y las distribuyen entre sus aliados. Yo no perderé tiempo, ¡nosotros ya estamos trabajando para dar salud a todos los ecuatorianos y recuperar la dignidad!",https://twitter.com/ecuarauz/status/1353748874075189248?s=20,Twitter,Negativo,Salud,Vacunas,"
@ecuarauz
"
23-01-2021,"¡Ni un atropello más a la voluntad popular! @LeoOrlandoA, estamos contigo y vigilantes. Total apoyo al pueblo de Manabí, que defiende a su Prefecto y que cuida sus recursos. 
Se viene el Ecuador de la verdadera democracia, de la solidaridad y el trabajo digno. Falta un día menos",https://twitter.com/ecuarauz/status/1352850418796277760?s=20,Twitter,Negativo,Ideología,Apoyo político,"
@ecuarauz
"
21-01-2021,Ciertos banqueros en Nayón,https://twitter.com/ecuarauz/status/1352479660584611840?s=20,Twitter,Negativo,Bancos,Crítica a los banqueros,"
@ecuarauz
"
21-01-2021,"""No pienses en un elefante"" -Lakoff",https://twitter.com/ecuarauz/status/1352473117747253249?s=20,Twitter,Negativo,Bancos,Contra Guillermo Lasso,"
@ecuarauz
"
21-01-2021,"Y si le das 1000 millones a los banqueros lo guardan en sus cuentas offshore en Miami. 
En eso se parecen la economía y el poder: solo funciona cuando se comienza por las mayorías.",https://twitter.com/ecuarauz/status/1352461642886508545?s=20,Twitter,Negativo,Bancos,Crítica a los banqueros,"
@ecuarauz
"
21-01-2021,"En tiempos de crisis las madres de familia necesitan #MilDeUna para reactivar la economía. 

Ellas saben cómo invertir responsablemente sus recursos a favor de sus hijos e hijas, a favor de su hogar, a favor del futuro y la dignidad sus familias!

#ARecuperarElFuturo",https://twitter.com/ecuarauz/status/1352339764805070849?s=20,Twitter,Negativo,Género,Madres de familia,"
@ecuarauz
"
20-01-2021,"No permitamos la privatización del BCE

Ciertos banqueros quieren tener el poder aunque pierdan las elecciones. Quieren que los banqueros nominados por Boltaire Moreno se queden en el cargo para impedir la disminución de tasas y comisiones.",https://twitter.com/ecuarauz/status/1352051465834139653?s=20,Twitter,Negativo,Bancos,Privatización del Banco Central,"
@ecuarauz
"
20-01-2021,(video),https://twitter.com/ecuarauz/status/1352052453181706241?s=20,Twitter,Negativo,Bancos,Privatización del Banco Central,"
@ecuarauz
"
19-01-2021,"Hoy presentamos nuestro eje Futuro Rural. 

Vamos a transformar y modernizar a todo el Ecuador . 

Estaremos en vivo desde las 19:30 por Facebook Live:
http://facebook.com/ecuarauz2021",https://twitter.com/ecuarauz/status/1351679986340687877?s=20,Twitter,Neutral,Derechos humanos,Futuro Rural,"
@ecuarauz
"
18-01-2021,"Mientras este gobierno es incapaz de cumplir con la llegada de dotación de vacunas anunciada para hoy, nosotros ya tenemos aseguradas 4.4 millones de dosis de vacunas tras acuerdo con el gobierno argentino.

¡Nosotros sabemos cómo hacerlo!",,Twitter,Positivo,Salud,Vacunas,"
@ecuarauz
"
18-01-2021,"#FelizLunes Lo hicimos nuevamente. Pudimos mostrar nuestras ideas y soluciones para el Ecuador que se viene a pesar de la campaña sucia. Ya falta poco, ¡por ti, vamos a vencer!",https://twitter.com/ecuarauz/status/1351232835626135561?s=20,Twitter,Positivo,Campaña sucia,Noticias falsas,"
@ecuarauz
"
18-01-2021,(emojis),https://twitter.com/ecuarauz/status/1351210131871178753?s=20,Twitter,Positivo,Otros,Tweet con emojis,"
@ecuarauz
"
18-01-2021,"Felices por finalizar el #DebatePresidencial2021. Expusimos nuestras propuestas sin peleas, ni odio. Motivados por nuestra única prioridad: el amor por las familias ecuatorianas. Este 7 de febrero puedes decidir por el futuro, el trabajo y la dignidad. 
#AndrésCapacidadYFuturo",https://twitter.com/ecuarauz/status/1351038074898309122?s=20,Twitter,Positivo,Empleo,Debate presidencial,"
@ecuarauz
"
17-01-2021,"En 2015 me comprometí, por mi hijo, que lucharía para que el país no vuelva al pasado oprobioso. Cumplí y millones de ecuatorianos tuvieron oportunidades. Hoy me comprometo nuevamente por su futuro, el trabajo y la dignidad de todos
#AndrésCapacidadYFuturo
#DebatePresidencial2021",https://twitter.com/ecuarauz/status/1350995289570758663?s=20,Twitter,Positivo,Empleo,Debate presidencial,"
@ecuarauz
"
18-01-2021,(foto),https://twitter.com/ecuarauz/status/1351033812759810052?s=20,Twitter,Neutral,Derechos humanos,Apoyo económico,"
@ecuarauz
"
17-01-2021,Me reuní en Argentina en calidad del futuro Presidente del Ecuador. Hemos iniciado las conversaciones para que la vacuna de Oxford esté disponible según el cronograma presentado. Seremos un gobierno que defienda sus derechos. #AndrésCapacidadYFuturo #DebatePresidencial2021,https://twitter.com/ecuarauz/status/1350992626615513089?s=20,Twitter,Neutral,Salud,Vacunas,"
@ecuarauz
"
17-01-2021,"Vamos a volver a la integración regional, para recuperar fuerza de negociación. Por ejemplo, me reuní con el Presidente de Argentina, y nos ha garantizado 4.4 millones de dosis de vacunas para poder atender a las y los ecuatorianos.
#AndrésCapacidadYFuturo
#DebatePresidencial2021",https://twitter.com/ecuarauz/status/1350989879476445186?s=20,Twitter,Neutral,Integración latinoamercana,Salud,"
@ecuarauz
"
17-01-2021,"La corrupción ha sido el reparto de hospitales, los carnet falsificados, la trampa de los bancos, el prepago de la deuda mientras nuestros hermanos fallecían. 
Nuestra política será construir obras y dignidad para el pueblo. 
#AndrésCapacidadYFuturo
#DebatePresidencial2021",https://twitter.com/ecuarauz/status/1350989879476445186?s=20,Twitter,Neutral,Corrupción,Corrupción gobierno de Lenín Moreno,"
@ecuarauz
"
17-01-2021,"Mi compromiso es que Ecuador no se convierta en un centro de lavado o paraíso offshore internacional. Vamos a fortalecer la dolarización y también los controles al sistema bancario. Para evitar la corrupción de los banqueros y la fuga de capitales. 
#AndrésCapacidadYFuturo",https://twitter.com/ecuarauz/status/1350989879476445186?s=20,Twitter,Neutral,Corrupción,Offshore,"
@ecuarauz
"
17-01-2021,"Vamos a generar una política pública totalmente participativa, la Democracia 3.0. En la confección del plan de gobierno a través del Wiki-plan. Con Datos Abiertos y participación ciudadana para construir el gobierno del futuro, de los jóvenes ¡Tú gobierno!
#AndrésCapacidadYFuturo",https://twitter.com/ecuarauz/status/1350979130909728778?s=20,Twitter,Neutral,Otros,Datos abiertos y participación ciudadana,"
@ecuarauz
"
17-01-2021,¡Tenemos una hoja de vida intachable que hemos puesto al servicio del pueblo!,https://twitter.com/ecuarauz/status/1350979137427681283?s=20,Twitter,Neutral,Historias de vida,Hoja de vida,"
@ecuarauz
"
16-01-2021,"#DebatePresidencial2021

¡La vacuna no se pone sola!

Somos la única candidatura que ha gestionado las vacunas a partir del 24 de Mayo, y ya tenemos el cronograma de vacunación. Vamos a incorporar profesionales y a invertir en tecnología.",https://twitter.com/ecuarauz/status/1350654794789216257?s=20,Twitter,Negativo,Salud,Vacunas,"
@ecuarauz
"
16-01-2021,Y aquí está con mayor detalle:,https://twitter.com/ecuarauz/status/1350696252103684098?s=20,Twitter,Neutral,Salud,Vacunas,"
@ecuarauz
"
16-01-2021,(foto),https://twitter.com/ecuarauz/status/1350697794164695040?s=20,Twitter,Neutral,Salud,Vacunas,"
@ecuarauz
"
16-01-2021,"Demostramos que nuestras propuestas son más fuertes que los ataques y la campaña sucia. Gracias familias ecuatorianas por el apoyo, gobernaremos para ustedes. 

#DebatePresidencial2021",https://twitter.com/ecuarauz/status/1350671953200361474?s=20,Twitter,Negativo,Campaña sucia,Noticias falsas,"
@ecuarauz
"
16-01-2021,"Los ecuatorianos tienen memoria y saben que pueden tener un Gobierno al servicio de su pueblo. No me puedo imaginar 4 años más de un Gobierno entregado a los banqueros. Hay que dar una mano, reconstruyamos nuestro país, recuperemos el futuro. 

En el #DebatePresidencial2021",https://twitter.com/ecuarauz/status/1350657742206337032?s=20,Twitter,Negativo,Bancos,Crítica a los banqueros,"
@ecuarauz
"
16-01-2021,"#DebatePresidencial2021

La educación será el motor de la transformación. Cerraremos la brecha en la educación inicial. Invertiremos para el bachillerato universal y más cupos en la universidad pública. Volverán las becas, y becas de conectividad de 3 GB.",https://twitter.com/ecuarauz/status/1350652034400325632?s=20,Twitter,Neutral,Educación,Transformar el país,"
@ecuarauz
"
16-01-2021,"#DebatePresidencial2021 

Proponemos cerrar la brecha de evasión tributaria con medidas técnicas, cobrando los impuestos a quien tiene que pagar, y eso lo hará nuestro gobierno, el gobierno del trabajo, el futuro y la dignidad.",https://twitter.com/ecuarauz/status/1350650848079192065?s=20,Twitter,Neutral,Bancos,Evasión tributaria,"
@ecuarauz
"
16-01-2021,"#DebatePresidencial2021 

A pesar de las trabas a nuestra participación, estamos aquí para dar un salvataje a las familias ecuatorianas y dar trabajo a los ecuatorianos y ecuatorianas. Mi trabajo como presidente será generar trabajo.",https://twitter.com/ecuarauz/status/1350650378388430850?s=20,Twitter,Neutral,Empleo,Propuestas,"
@ecuarauz
"
16-01-2021,"#DebatePresidencial2021 

Vinimos a plantear las propuestas al pueblo ecuatoriano y no entrar en campañas sucias. Sabemos cómo fortalecer la dolarización, vamos a traer los dólares que están afuera. Seremos un gobierno entregado a la tranquilidad de las familias ecuatorianas.",https://twitter.com/ecuarauz/status/1350646636960210946?s=20,Twitter,Neutral,Dolarización,Fortalecer la dolarización,"
@ecuarauz
"
16-01-2021,"#MilDeUna para las madres de familia. 
#AlivioDeUna para quienes están siendo ahogados por las deudas.
¡Mi trabajo es dar trabajo digno!",https://twitter.com/ecuarauz/status/1350639999927144451?s=20,Twitter,Neutral,Género,Madres de familia,"
@ecuarauz
"
16-01-2021,(video),https://twitter.com/ecuarauz/status/1350646041771708418?s=20,Twitter,Neutral,Género,Madres de familia,"
@ecuarauz
"
16-01-2021,"#DebatePresidencial2021

Vamos a tener un control a precios de transferencia para evitar la evasión fiscal, las empresas fantasmas e incorporar el intercambio tecnológico de información con el sistema financiero.",https://twitter.com/ecuarauz/status/1350644636004573184?s=20,Twitter,Neutral,Tecnología,Evasión fiscal,"
@ecuarauz
"
16-01-2021,¡Arrancamos el #EcuadorDebate2021!,https://twitter.com/ecuarauz/status/1350637610847399937?s=20,Twitter,Neutral,Otros,Debate presidencial,"
@ecuarauz
"
16-01-2021,¡Estamos listos para el #EcuadorDebate2021! Sin escándalo ni juego sucio. Con propuestas donde la prioridad siempre serán las familias ecuatorianas. ¡Acompáñanos!,https://twitter.com/ecuarauz/status/1350608218305781760?s=20,Twitter,Neutral,Otros,Debate presidencial,"
@ecuarauz
"
16-01-2021,"Denuncio al mundo las irregularidades del CNE en la organización del Debate Presidencial, prueba de la poca responsabilidad para afrontar con eficiencia un evento central del proceso electoral

Aquí nuestra postura y reclamo:",https://twitter.com/ecuarauz/status/1350536180803248129?s=20,Twitter,Negativo,Democracia,Irregularidades CNE,"
@ecuarauz
"
